,logFC,logCPM,PValue,FDR
PA2069,-8.41884203829319,9.12025217257987,4.72034728552875e-87,2.68021318872323e-83
PA3416,-7.36039299093468,5.6639662097427,1.82848980792168e-80,5.19108256468965e-77
PA3417,-6.73279502655757,5.78676457146023,5.96690572693656e-70,1.03666615966491e-66
PA2190,-7.06262477487463,6.83514164947545,7.30303740517724e-70,1.03666615966491e-66
PA2159,-7.72687282137505,5.80352879578363,2.4768340946622e-68,2.81269279789839e-65
PA2508,-8.06019140805613,6.73067884843429,1.66080573910454e-67,1.57167583110593e-64
PA2566,-5.59500080750438,6.45144325120983,2.29552551266775e-67,1.86199912298964e-64
PA2939,-6.16759189554022,7.91452257704037,7.03481350459854e-66,4.99295888488881e-63
PA2511,-5.08029915020766,6.8797884003371,9.23907323427531e-63,5.82882864713502e-60
PA2509,-7.32081221903202,6.68747516266527,1.3255491800897e-59,7.52646824454933e-57
PA4918,5.8992192068802,7.27520827060538,2.12381233811599e-59,1.09627331416569e-56
PA2507,-7.55769359382074,8.03046071352321,3.60600982678282e-59,1.70624364970607e-56
PA2146,-11.563797563513,8.32513321849754,1.32620402737556e-58,5.7924511287988e-56
PA2514,-8.14002456345481,8.49042566485164,8.3069953755117e-58,3.36907998158253e-55
PA1877,-5.39914930082893,5.74712493665696,1.15711148774561e-56,4.38005268494637e-54
PA3479,-5.16806002941502,8.17716745181316,6.59604271777336e-56,2.34077065946982e-53
PA3930,-4.87267858342588,7.63682135479926,7.88739706039049e-56,2.54098863898305e-53
PA0126,5.241407639666,5.87723139904958,8.05526514647673e-56,2.54098863898305e-53
PA4704.2,-6.56655953940491,5.36633808071656,1.65008395740906e-55,4.93114563693085e-53
PA2173a,-7.18757454644975,4.07477148929463,1.86166337917913e-54,5.28526233348956e-52
PA2165,-5.64746048363342,6.23945249227793,7.27732671546744e-53,1.96765052811543e-50
PA2519,-4.74378408420027,6.57366813309013,9.15363470615877e-52,2.36246990279861e-49
PA2134,-7.180300228867,6.07446455599382,6.04475566645745e-51,1.49226620322371e-48
PA3032,-5.14730815019389,5.98334181025057,5.29731171049991e-50,1.25325566217577e-47
PA2068,-7.27971771069404,6.5887144195336,1.76943171750403e-49,4.01873331679515e-47
PA1876,-4.83805955003384,6.41745518711866,4.70994248623801e-49,1.02857897834075e-46
PA2746,-5.23598548478145,6.66510310197516,6.23813668035959e-49,1.3118570396697e-46
PA1874,-5.31306197342445,9.96498244989766,1.3567044305565e-48,2.75120277024994e-46
PA3415,-5.33968826201153,5.6800980885397,6.44529230809965e-48,1.26194378363413e-45
PA1875,-5.15654509063302,6.24698023031585,8.82070657422518e-48,1.66946573094835e-45
PA2513,-8.00928190944966,8.24178477704057,1.53021290425128e-47,2.80275770010927e-45
PA2512,-8.64641913479003,9.49724613695327,2.67670963855759e-47,4.74948666491563e-45
PA2160,-6.34868663743727,6.77318023995337,3.76138035582994e-47,6.47185383648558e-45
PA2787,-5.05477845830006,5.16877614202615,5.13354417767994e-47,8.57301877672549e-45
PA2066,-5.45122982466476,6.41390106611402,8.00377925754824e-47,1.29844167498168e-44
PA2515,-8.57144685233568,6.75406683775998,1.40654108801404e-46,2.21842786048437e-44
PA2067,-6.79727986923553,4.98815509753676,3.06682171961421e-45,4.70632803350527e-43
PA0085,4.79392602211517,8.76971930408293,3.8491574019074e-45,5.75145150737637e-43
PA1174,-4.37726597185633,7.2703731354006,4.37959199713772e-45,6.37623675890973e-43
PA1673,4.86468804431537,8.1438070771447,1.43789728040727e-44,2.04109518953811e-42
PA2424,-5.13725690862958,7.68857995800901,1.64741999562233e-44,2.28147578905942e-42
PA0090,4.20252775840659,7.85204959839302,1.95889316662316e-43,2.64823700002054e-41
PA3362,-4.3481723411234,6.18538895791867,3.57959189416269e-43,4.72672622675715e-41
PA0091,3.8929837616632,6.94796717575142,8.11719374418716e-43,1.04748695635215e-40
PA0077,4.38287225493046,8.02527777100628,2.23141069610112e-42,2.81554442943603e-40
PA4348,4.62369786490697,8.01884295420061,3.6242385155199e-42,4.47357093285261e-40
PA3337,4.75923113070423,7.64184730356505,4.21044925258791e-42,5.0865810332328e-40
PA2148,-6.00560343747085,3.92631847360312,6.26770305824089e-42,7.41417040931079e-40
PA1871,-4.73942219949118,7.5548114694514,2.08962574297684e-41,2.42140713645357e-39
PA3724,-7.19563528607445,11.5860273933394,2.43484047748655e-41,2.76500484623372e-39
PA2375,-5.35000590867707,3.88060308093402,6.95619581256224e-41,7.7445646713193e-39
PA2171,-6.89564532886575,6.20998649902698,7.31349756163492e-41,7.98577676056982e-39
PA2517,-6.24735573599929,3.8518441681927,8.0891652422162e-41,8.66609061232143e-39
PA3924,-4.15755034032367,7.29755142547665,1.2827754508155e-40,1.34881463143156e-38
PA1421,4.22820662282909,7.14944695975094,1.64889238655399e-40,1.7022565401552e-38
PA2158,-5.95939098561763,5.56779078063095,2.58940162779945e-40,2.62546829332952e-38
PA0051,-4.53751225013443,5.37004195051217,2.91301556591608e-40,2.90177234794237e-38
PA2433,-5.57814078488153,7.25476880620196,7.88682945747867e-40,7.72093407923515e-38
PA2564,-4.45382273374648,5.60575250501569,1.17999753506411e-39,1.13559762781254e-37
PA3723,-4.29773029974469,7.26887150252608,1.29032402700841e-39,1.20184254095391e-37
PA1870,-5.21867119083631,5.09131283996632,1.29116581539606e-39,1.20184254095391e-37
PA0045,4.67056090492316,5.96722458822047,1.34361073788392e-39,1.23048738221047e-37
PA2169,-6.75798819615479,4.77629854162205,2.81050998993186e-39,2.53302789251319e-37
PA4919,4.9394284975743,7.62316353269703,2.88802735331006e-39,2.56222176751476e-37
PA2867,4.06554550142547,6.31359947810385,3.28150896666856e-39,2.86652429426832e-37
PA2143,-6.4503846956665,5.31889296380922,3.92279852770289e-39,3.37479546065106e-37
PA0227,-5.44932575994087,6.27584833884621,6.62040317370137e-39,5.61054465974274e-37
PA0070,4.27818803826266,8.90889895339425,7.80511426430859e-39,6.51727041069768e-37
PA0046,5.05278473902182,4.60415380227567,1.38310671096532e-38,1.13815650795088e-36
PA0078,4.36538048943649,6.27254407272095,3.52207999205628e-38,2.85691002784222e-36
PA0089,4.46069271878794,5.35878510952169,5.84052487819683e-38,4.67077468428192e-36
PA2570,-7.33181196889791,5.44800537037426,1.17636661136245e-37,9.27695780460556e-36
PA2181,-4.96734895510108,4.44624046208019,1.87981355881896e-37,1.46213443657179e-35
PA1051,3.84720418678123,6.31258080687703,4.23201310217017e-37,3.24721221542193e-35
PA2167,-5.17993935747576,4.94582171447505,4.37597314137904e-37,3.31290339956669e-35
PA2164,-5.78303577796242,5.81414825807503,5.4972546688463e-37,4.10702789601438e-35
PA3049,-7.53485518300824,11.6069652933207,1.12378492773964e-36,8.286819246371e-35
PA4306,-5.69402191623655,6.21357977906812,1.74520147533085e-36,1.26384549308366e-34
PA0088,4.22334061873601,6.15467178872771,1.75843244018333e-36,1.26384549308366e-34
PA2412,-7.06816028016763,4.29644940286314,2.33477236450656e-36,1.65710468570853e-34
PA2142,-5.57528528905686,4.3908767714773,6.58305089563729e-36,4.61463740560846e-34
PA4209,-5.59458274303951,7.46784000447909,1.06993519928189e-35,7.40864885551535e-34
PA1494,-5.87104645672161,9.83200827586799,1.47461698733518e-35,1.00878015109508e-33
PA1131,-4.26003625749676,5.42846339948306,1.56234030822994e-35,1.05606765120591e-33
PA5304,3.75169579940545,9.08015208189781,2.18295640504524e-35,1.45821487857022e-33
PA5170,4.66758665683665,10.8294576447361,2.28554270157149e-35,1.50898970459569e-33
PA3478,-3.96120250580084,6.82701233501647,4.74221523359159e-35,3.09497679268196e-33
PA3364,-3.97215511175961,7.84480652163264,6.95086610605442e-35,4.48488838070193e-33
PA2506,-6.81960055270348,4.59499303187325,8.8802425621836e-35,5.6653951986605e-33
PA5303,4.42814736962603,7.18102877651232,1.08971602293588e-34,6.87489730914434e-33
PA2427,-7.07285390141821,4.86588191878698,1.49277253683201e-34,9.31424446607929e-33
PA0736a,-4.33290485306675,6.2612182122862,1.65327687901747e-34,1.02035936076752e-32
PA2411,-6.57017867849926,7.20608978217629,2.86874923475639e-34,1.75147937149965e-32
PA0052,-4.17919440614499,5.67932299214086,3.07731233605531e-34,1.85882760043851e-32
PA3688,-4.03867297429501,6.34145039167819,3.36534532240812e-34,2.01141376217192e-32
PA0084,4.40238859565825,9.28951824604176,5.3721386260365e-34,3.17739615819117e-32
PA3844,-3.64792682145596,6.519849068193,6.23094239589903e-34,3.64734957978502e-32
PA2151,-4.91279830566373,6.14390319287066,1.39624487161789e-33,8.08967181739425e-32
PA2142a,-5.53837677601593,2.87189288668957,1.41205707761035e-33,8.09864655219348e-32
PA2154,-5.07547303858971,3.41056239518447,1.69705188207671e-33,9.63586058643157e-32
PA3418,-4.76902512274964,6.54021945642117,2.07557494101412e-33,1.16179352071514e-31
PA1349,-4.07310090170328,3.38866164540017,2.0870542288296e-33,1.16179352071514e-31
PA0074,3.73879101586589,7.12282229402038,3.72155173226318e-33,2.05155055687285e-31
PA1728,-5.37374154528437,7.2340842701503,4.11156413419146e-33,2.24475588018645e-31
PA3460,-3.65542358182211,6.9608091450151,5.53533662299779e-33,2.99329917575061e-31
PA4377,-4.23321334469111,6.75302852229053,5.5985785786401e-33,2.99893671410552e-31
PA2144,-4.17137038954262,6.83710110418859,8.21650086663425e-33,4.36012074025694e-31
PA3728,3.55090159243445,7.60684454459079,1.01327704337998e-32,5.32721023362178e-31
PA2323,3.61964960602341,7.3858225125112,1.22947882244558e-32,6.40456949894129e-31
PA2178,-4.5549861112687,3.72247281169874,1.54612207066804e-32,7.98080101568466e-31
PA2141,-5.80496715255646,2.43228795327939,2.42973541606164e-32,1.24288627859442e-30
PA0059,-4.04804434605465,6.8336116726718,3.20602180689711e-32,1.62533855531802e-30
PA0171,4.89921482985911,4.27536159165732,3.27198414008003e-32,1.64409964136057e-30
PA2147,-4.69603559516049,6.26805929494854,4.51485183234417e-32,2.24871304421493e-30
PA2162,-5.85794896798776,5.65209849215043,5.13056993064779e-32,2.53316313619288e-30
PA1429,3.80318112554383,8.05425826186669,5.37587862476054e-32,2.63139989925779e-30
PA2140,-5.6650328262597,2.60434147203545,6.05607540192157e-32,2.93900821641972e-30
PA0165,3.83931702486663,5.85953077717866,6.30563836709843e-32,3.03418768206652e-30
PA4495,-4.97812175572513,11.5065035676362,8.47638329360653e-32,4.0444457429494e-30
PA2895,-4.24505807736075,4.97718855849041,9.59045114928863e-32,4.5378818021384e-30
PA2145,-4.82893577828635,2.95002623734847,1.21455469388821e-31,5.69937318338614e-30
PA1177,-4.32418542281077,3.76361635635142,1.50185856078343e-31,6.98979746567894e-30
PA4573,-4.19987710979355,6.30219815805513,2.28987649587248e-31,1.05706656451739e-29
PA2815,-3.56104217039043,8.04937348465878,3.16570544366533e-31,1.4495867346074e-29
PA3928,-4.61458662791881,4.7817493494186,3.33115406210779e-31,1.51314342117184e-29
PA2174,-6.83525263585527,5.9950607024112,3.98934574420406e-31,1.79773850282465e-29
PA1228,4.13162911575545,4.20902376811987,4.26015382502917e-31,1.90465774948942e-29
PA3839,3.32307791519627,6.8456845147912,4.84748282647774e-31,2.15031308505786e-29
PA2399,-3.34724717243477,7.73863909751072,5.61764378100217e-31,2.47263421616514e-29
PA2385,-5.23358494441945,5.09675110033868,5.82648187584797e-31,2.54482800700498e-29
PA2300,-5.34299021248619,6.84592280236242,6.78117126712337e-31,2.93919774463561e-29
PA1880,-3.62845252000309,6.40153440892762,7.84763446085303e-31,3.37567185369117e-29
PA2163,-6.15520799707084,5.087276802631,9.64098713298355e-31,4.11590413090831e-29
PA2413,-5.41626822711036,5.48540843959681,1.01637599213103e-30,4.30670364426866e-29
PA1985,-4.79275771939029,5.74943825652795,1.04716122222752e-30,4.40428253319101e-29
PA1196,4.34797337392372,6.41108581924686,1.66630965215389e-30,6.94297357687604e-29
PA2571,-3.55031076311593,6.0478866391108,1.67521553369499e-30,6.94297357687604e-29
PA0187,-4.30577324768073,3.87669007993763,1.72982610889458e-30,7.11735699007495e-29
PA4571,3.87488131272647,8.37087295298694,3.74175968034528e-30,1.52846845071946e-28
PA3365,-4.72941436583592,8.79364446819227,3.92166380153285e-30,1.59051479036454e-28
PA4172,-5.08345065629993,3.94111121448249,4.49676840043617e-30,1.81082631047352e-28
PA2682,-4.730078555281,7.90199840886855,8.46034414144889e-30,3.38294605881315e-28
PA1930,-3.82658534210217,5.61953657637508,1.37205893844086e-29,5.44793751920784e-28
PA2371,-3.59149228727652,4.65872592464695,1.38426183287004e-29,5.45822131044172e-28
PA2033,-4.48175263855379,5.4977914304412,1.5629426658712e-29,6.1202679012529e-28
PA0087,4.69275342985214,5.03428848423445,1.7663255709761e-29,6.86931273424816e-28
PA0211,-5.68664488207591,5.5286943457524,1.79276869625261e-29,6.92472153559341e-28
PA0107,-4.45177467656486,3.82329460118197,1.9230415220865e-29,7.37772281243726e-28
PA3729,3.47065919966748,7.71218765547968,1.93712522742032e-29,7.3818772089212e-28
PA2516,-6.12513044409495,4.98062870947377,2.05119074489587e-29,7.76444069967915e-28
PA0534,-4.08246566343443,7.35778612816226,2.23214927724938e-29,8.39347258027947e-28
PA4703,-4.11644213465234,5.18473589669812,2.64011475852137e-29,9.86221815716077e-28
PA3530,-5.55074231165677,5.83177749352257,3.19479447518636e-29,1.18562372745805e-27
PA0587,-3.26728647075682,6.81080893530808,3.55242578517458e-29,1.30978400053385e-27
PA2135,-4.45231063510626,3.52672792059361,4.20510966167793e-29,1.54042662316176e-27
PA5440,3.94605643434006,7.01057622044786,5.57408717083598e-29,2.02882480487222e-27
PA3923,-4.33037265801257,8.43280244527411,6.74677545001471e-29,2.44001216593526e-27
PA0122,-3.99985918310588,8.62971205644944,8.19751739302154e-29,2.94591795934027e-27
PA2518,-5.69429799431022,4.84901036523757,9.48583779909804e-29,3.38745830335086e-27
PA0188,-3.83290477269348,3.47243627582382,9.58866532200727e-29,3.40277760614733e-27
PA2027,-5.0264720281012,4.74456901502983,9.82454452108682e-29,3.46483004911373e-27
PA1899,-6.23043819228752,3.8233806067426,1.08892042743617e-28,3.81659888085345e-27
PA0075,4.24387782656638,4.98073254441293,1.19375132501102e-28,4.1583558425844e-27
PA2896,-3.80057023850661,7.36196791245854,1.43153771954331e-28,4.95626290949202e-27
PA3733a,-3.87991134888823,5.43698459050755,1.91521690990559e-28,6.59066764511755e-27
PA0083,4.31744763730009,7.46338683814964,2.44441815163301e-28,8.36108811142905e-27
PA4294,-4.52861247921946,3.25542556804303,2.55983718145968e-28,8.70344641696291e-27
PA2153,-5.45388203552158,5.53918913965544,3.55180309135723e-28,1.19970785396373e-26
PA2127,3.40246785042504,6.53804132135105,3.57081062557009e-28,1.19970785396373e-26
PA1130,-3.85513143607296,6.1079840519812,4.54059585223081e-28,1.51655901464509e-26
PA2180,-6.29637029205566,5.13454327428281,6.68576109452427e-28,2.21998546752683e-26
PA2414,-4.02254871281569,4.97272768154405,7.84651755273011e-28,2.59026317816288e-26
PA0079,3.29043344026796,6.14399654951873,9.12695974888615e-28,2.99554204937431e-26
PA3922,-4.34010157769766,8.0051371239452,1.15079451484089e-27,3.75529382486586e-26
PA2426,-6.34965003507906,5.38734461360703,1.29375139533651e-27,4.19766881298327e-26
PA3363,-3.95588859819005,7.07382215424785,1.49977245095972e-27,4.83847044122117e-26
PA1176,-4.1291451455786,3.59788794717505,1.78205410505861e-27,5.71666847939139e-26
PA4311,-3.51363286043285,6.78598575927907,1.88972649966787e-27,6.0280152051203e-26
PA3570,-3.51443103960112,6.21390516169127,2.94861576715007e-27,9.35320688596541e-26
PA1733,-3.24927084031901,5.29022576640098,2.97639252266167e-27,9.38886485759607e-26
PA2425,-6.17210612908854,4.79698049270727,3.62946585642465e-27,1.13856945484968e-25
PA4171,-4.10680017707608,5.14994298327334,3.7646655881682e-27,1.17449292360544e-25
PA3641,3.31608580619555,7.66385750972759,4.21092032457385e-27,1.30653582529674e-25
PA2030,-3.40568733014794,5.04387161655127,4.82418391779168e-27,1.48868023289246e-25
PA0320,-3.60535087225313,6.05439997184003,5.97391469987441e-27,1.83350744139929e-25
PA2400,-3.37128859690321,7.43561924108941,6.45804818039606e-27,1.97144072947789e-25
PA0226,-4.70002825543848,6.79684087526325,8.76164347468082e-27,2.66035356413036e-25
PA2402,-3.64140251243272,8.02687435794613,1.18771519927733e-26,3.58141876912272e-25
PA3461,-3.53402809635272,5.94349360567177,1.19212424685487e-26,3.58141876912272e-25
PA5507,3.77710343569046,6.97645718859457,1.60100114135188e-26,4.78446551610313e-25
PA3785,-3.40572100646864,7.77797410601628,1.69429654856481e-26,5.03676220039319e-25
PA5508,3.28794942353889,7.03288262335544,1.77410728540168e-26,5.24655269089102e-25
PA3451,-5.42416693889843,5.41508291825259,2.33264552185442e-26,6.86257060781833e-25
PA1561,3.15264852713152,6.66273550005467,2.54490237386942e-26,7.4484307622838e-25
PA3929,-3.30371473979427,6.92468011004779,3.2123241773077e-26,9.35362906602725e-25
PA0141,3.70784411471373,7.53863821742954,3.77161966955872e-26,1.09261512672216e-24
PA2185,-4.00896145908984,4.65200382665296,4.58984540301228e-26,1.32290061920323e-24
PA0291,3.01916576503355,8.57158305859294,8.08179609367662e-26,2.31759788989373e-24
PA2155,-4.81885880666131,3.81324273818855,9.55602484259131e-26,2.7265883947856e-24
PA0472,-4.15296391488862,4.87496476989625,1.04474768128338e-25,2.9622312670086e-24
PA1837a,-4.38188731887567,5.69371565338758,1.04862360808159e-25,2.9622312670086e-24
PA0588,-3.61565739612338,9.1111946831515,1.06422918160876e-25,2.99143232335374e-24
PA0086,3.86843076903108,6.1953265326836,1.20281172441303e-25,3.36431771981142e-24
PA0047,3.86521104012639,4.57956514364176,1.44917144032224e-25,4.03352717556358e-24
PA2565,-4.18091660841801,3.48041089378249,1.9510487339946e-25,5.40392912762017e-24
PA5555,3.31896957488013,9.24705841354881,2.4112497135498e-25,6.64615333666784e-24
PA1931,-3.81764549117916,4.08317558373362,2.8186004957034e-25,7.73140754328691e-24
PA2374,-3.44492258131521,2.64959927899302,3.21032325328631e-25,8.76356511161524e-24
PA1860,-3.37301548464095,4.60373340991304,3.29152178035446e-25,8.94222998509694e-24
PA3727,3.24358708749229,4.15532590413436,3.55779207967373e-25,9.61959210875593e-24
PA0176,-3.19341625514453,5.69652404873958,3.96932142908263e-25,1.06814251537115e-23
PA2072,-3.5166927539032,4.96466641297318,4.68896292402984e-25,1.2558458246529e-23
PA1327,-3.03442830810098,5.92934742368453,5.41565734940112e-25,1.44366678074646e-23
PA3742,3.6217257986775,9.0095990145074,7.25991178698507e-25,1.92625136105146e-23
PA2170,-6.45560810760869,2.20038863776772,1.01700027633835e-24,2.68582677630194e-23
PA1838,2.87095542829826,7.21227226706077,1.04707253903277e-24,2.75244346140189e-23
PA4637a,-6.12554338150897,9.1568643165461,1.1489849424041e-24,3.00642235159929e-23
PA2173,-5.68565645122573,4.62777441823928,1.44852651649827e-24,3.77281355994366e-23
PA0212,-5.77878434718933,5.42717904049995,1.81194602645793e-24,4.69782170695349e-23
PA0755,-3.88053326945181,4.38598638784476,1.87362291582806e-24,4.83565041639623e-23
PA3520,-6.07898233988381,4.23950659286501,2.53137099563817e-24,6.50367625033192e-23
PA2172,-5.4236816952277,5.83854777439634,2.76956558295788e-24,7.08360062163733e-23
PA4900,-3.78909673151106,4.39731838886529,2.84484102502626e-24,7.2435010493718e-23
PA3569,-4.04517981282038,4.45874195675722,3.00664754544438e-24,7.62131462635409e-23
PA2717,-4.04522058687333,4.94933978847517,3.72085181865468e-24,9.389776278365e-23
PA2184,-5.20993999305367,5.09751585756602,4.14841643522518e-24,1.04224373978799e-22
PA2369,-3.62519757734483,3.67900888735862,5.48187345324921e-24,1.37119283998013e-22
PA0105,-3.54516266094514,6.923983131421,6.19890625330888e-24,1.54374516255648e-22
PA2763a,-3.74677661994472,5.08443451862339,7.04106807365728e-24,1.74581591800114e-22
PA4773,3.23243274257127,4.62928704616726,8.32362420266856e-24,2.05484948794574e-22
PA4156,-3.72814871559247,5.47027055319655,8.63815508760798e-24,2.1232659994562e-22
PA2150,-4.54654160120897,3.61506866007708,8.79280581183694e-24,2.14943432886157e-22
PA2366,-3.60112648237706,5.85075537867399,8.82032755591312e-24,2.14943432886157e-22
PA3231,-3.80840226619264,4.11033516666692,1.01095472442737e-23,2.45307731850368e-22
PA4210,-4.64631181053431,3.03432443332214,1.02964117780961e-23,2.48778834366085e-22
PA5359,-3.25392719696211,5.95096597812215,1.41926400453361e-23,3.41465297361942e-22
PA5058,-3.23131566644482,6.40225333635044,1.48641211494711e-23,3.56111729479734e-22
PA0672,-4.34221375633442,5.64146303420068,1.49586834263788e-23,3.56871447457895e-22
PA5554,3.29293959925632,10.8281267117621,2.34085640773225e-23,5.56124798456221e-22
PA4468,-4.45960696547287,6.13365342715158,2.72344166752423e-23,6.44320907841775e-22
PA1556,3.27325424744917,6.93669233661739,2.78048734374072e-23,6.55087433102066e-22
PA2721,-3.4969227293729,4.44586455678974,3.07663436622779e-23,7.21864873200058e-22
PA3082,3.13720010576424,6.31446630954306,3.63962711865955e-23,8.50444558837406e-22
PA3250,-3.14552928175684,5.5546116789374,3.84682341645543e-23,8.95174727812867e-22
PA0586,-3.52541648600197,6.8387474535287,4.15629869431679e-23,9.632434280135e-22
PA5475,3.09975347164219,8.22569869313622,4.85234899386324e-23,1.11998526777055e-21
PA0111,-4.09611693097681,2.84701071851709,5.00742978828855e-23,1.15110066145354e-21
PA2192,-4.47347606297064,3.62747507441,5.38109340628998e-23,1.23201001455301e-21
PA0117,2.94565145992,7.26357208068061,5.48275668311793e-23,1.25024467657605e-21
PA4296,-3.44557358103754,5.60819994786629,5.64723247667095e-23,1.28259944010151e-21
PA2204,3.46244811956096,6.18260228969495,6.1647135356091e-23,1.39455153207922e-21
PA2475,-3.09396491006098,4.58021014417427,6.33837021929217e-23,1.42814548036274e-21
PA3126,-3.76384308017666,9.84797174132077,6.50660614703703e-23,1.46025730050894e-21
PA4133,-3.15020006783164,9.05867557893954,7.28894712860187e-23,1.62939534630714e-21
PA4155,-3.99739024055106,4.77200280155615,9.23087519109817e-23,2.05540820921786e-21
PA2152,-3.81088284372313,6.16514449228362,1.04700566041299e-22,2.32222583586911e-21
PA2573,-2.93583460116426,6.71412420661429,1.1436200712647e-22,2.5266438772922e-21
PA1249,-4.69998998194882,7.98661504413967,1.21890146918141e-22,2.68252811705893e-21
PA1784,-3.58692305494901,5.0821198033917,1.25661050663973e-22,2.75483955857157e-21
PA2168,-4.77162084709903,3.11908933865438,1.31064108438291e-22,2.86223849120237e-21
PA1557,3.49593178118791,8.86472713478203,1.4647958586493e-22,3.18663252314588e-21
PA2415,-3.32855602689327,3.10839927775268,2.10903697722868e-22,4.57065341858949e-21
PA4467,-3.60135148454096,5.46925790299695,2.95180740815402e-22,6.37276139296521e-21
PA3734,-2.9151872208448,4.86090786501426,3.07718287563962e-22,6.61827438177339e-21
PA2370,-3.35183170341902,2.27603148842567,3.8646024895565e-22,8.28045771158558e-21
PA1730,-3.03888586133325,5.54772344406868,3.97435368093437e-22,8.4836015790772e-21
PA0209,-5.63479854734652,4.11895532619098,4.05481401112574e-22,8.62293406560747e-21
PA2367,-3.46994229438212,3.92738574598943,4.71760520161839e-22,9.99498594581687e-21
PA1791,3.76598380712498,5.37735218419165,4.73785385466845e-22,1.00005703296682e-20
PA0789,3.04623364182228,7.91347672265635,5.40791260812618e-22,1.13726399218298e-20
PA0169,3.26924030022147,5.02096167639474,5.74461375732042e-22,1.20361317026071e-20
PA1404,-4.25896294740788,3.67661645067512,6.1731094883378e-22,1.28863660569052e-20
PA1914,-4.1675413663224,4.35974817996356,6.24978043186397e-22,1.29986275795325e-20
PA2937,-4.48828460039161,4.8056670838601,6.70993448453734e-22,1.39047474464245e-20
PA4709,-4.56583994976139,5.07810233934617,7.19524646062006e-22,1.48562216012366e-20
PA1175,-4.27097746158166,3.03205733892093,8.08424024817928e-22,1.66312739598413e-20
PA0524,-4.90145627529341,9.55243277187071,8.96040116988682e-22,1.83672049973348e-20
PA3858,-2.62325943255488,6.73945183222659,9.21378631738473e-22,1.88186614065146e-20
PA4920,2.63739143199576,7.483771750865,9.69951324728545e-22,1.97397262430419e-20
