,logFC,logCPM,PValue,FDR
PA2069,-7.80971877732931,9.00659213763235,8.66847426283112e-101,4.92195968643551e-97
PA2939,-6.10768680043989,8.10581310631281,5.41834297596189e-92,1.53826757087558e-88
PA2174,-6.9421404723591,5.9521666390994,3.61079173783774e-90,6.83402516248089e-87
PA3416,-6.5480582390095,5.54135900155368,2.36742122365339e-79,3.36055442697599e-76
PA2173a,-6.79424352272669,4.15187391114543,1.42429234649786e-76,1.61742638868297e-73
PA2566,-5.23381068662013,6.51836218986564,3.44346685074646e-74,3.25866746308974e-71
PA3417,-6.28763241556521,5.54730772277723,1.44181029597099e-73,1.1695141229319e-70
PA2068,-6.43099215129156,6.57137698469439,5.63886510337753e-73,4.0021845071222e-70
PA0524,-5.73030188840575,9.67700755281546,9.1589552071882e-73,5.77828307404607e-70
PA3922,-5.248917640126,7.72766863722634,2.0638419416616e-72,1.17184945447546e-69
PA2190,-6.92429179379486,7.00397552423811,2.42781343130577e-68,1.25319315117765e-65
PA3724,-6.84428126394929,10.9912537884889,7.44591949646397e-68,3.5231609084102e-65
PA3923,-4.7152578215254,8.268616420058,6.67315414412115e-67,2.9146284023323e-64
PA2066,-5.67188223219395,6.60906434430762,4.73279694524126e-66,1.91948721821999e-63
PA2159,-6.6715733408363,5.62393716866092,6.75656218961384e-66,2.55758400750849e-63
PA3924,-4.38278761451273,7.34548611684752,7.13923751990199e-65,2.53353691487522e-62
PA3479,-5.20262146343393,8.44200969787953,3.08875935465865e-64,1.03164562445599e-61
PA1837a,-4.55498672943558,5.9238781619922,3.7999538082974e-64,1.19867431797292e-61
PA1876,-4.74054437207144,6.57341837184441,1.44403139168639e-63,4.31537381157647e-61
PA2746,-4.84910763153439,6.98221159154158,2.13977577953837e-63,6.07482343810944e-61
PA1875,-4.50903016822268,6.34178294250339,1.89296984096749e-62,5.11822988429211e-60
PA2160,-5.46638005483247,6.51336919138104,5.21301035716699e-62,1.34543058218155e-59
PA3049,-7.52004079913977,11.1862432445984,3.0349761183253e-61,7.49243234776132e-59
PA2146,-9.42915756816875,7.40144510717722,4.20433236881448e-60,9.9467496625536e-58
PA3723,-4.2607157742836,7.23937333039391,3.46402051072806e-58,7.86748338396556e-56
PA2067,-6.67708004263238,5.13332912582473,4.92860846891109e-57,1.07633226486451e-54
PA1871,-4.10527736847129,7.13931810457409,5.41905965198646e-57,1.13960817422145e-54
PA2506,-6.85840584884818,4.59969109320647,6.09545887371374e-57,1.23607198160524e-54
PA2163,-5.93982767654197,5.03577655547528,1.47032578142744e-56,2.8787964782569e-54
PA2165,-5.45265853661764,6.21347770741351,2.6967843630253e-56,5.10411387108588e-54
PA1874,-4.96277813275128,9.94083321243883,3.53779538545661e-56,6.47987167697505e-54
PA3451,-5.46908371823177,5.58870786255709,5.11177348893742e-55,9.07020308443333e-53
PA3361,-5.91569926752617,6.66766970548805,5.46642235024571e-55,9.40555942566519e-53
PA2143,-6.25682389834674,5.56175094021394,5.8865607837539e-55,9.83055650886901e-53
PA2153,-4.79964499374043,5.37696609824159,1.52665048157792e-54,2.47666326697126e-52
PA4156,-3.99618863464709,6.04315761009385,2.20279639492222e-54,3.47429942510233e-52
PA2511,-4.68294672467958,6.97863550496773,2.47334536630739e-54,3.79558242970091e-52
PA2184,-5.03529901749551,4.83352011244316,5.93683568741402e-54,8.87088237714126e-52
PA1877,-4.86824860462763,5.8499786452119,6.38939511082142e-54,9.30230395878051e-52
PA2169,-6.57095230717316,4.51316954564177,7.19054973330695e-54,1.02069853464292e-51
PA4471,-4.9794554029103,5.48168895210282,1.4413524882581e-53,1.99609742154378e-51
PA1174,-4.23198314734451,7.29568213909774,1.70999019871833e-53,2.31174389245778e-51
PA2151,-4.35139521815602,6.09840625265286,4.58974406063754e-53,6.06059692472091e-51
PA0672,-4.28555780174887,6.28240030291909,2.64108192093141e-52,3.40819616978375e-50
PA2164,-5.03449475592848,5.58787451970331,4.44700225254665e-52,5.61112861999108e-50
PA2507,-7.76422418861969,7.89884550666769,4.60843507473214e-52,5.68841181615849e-50
PA3415,-4.13368445723356,5.49225217257708,4.93544849732466e-52,5.96244182293817e-50
PA2514,-7.46995118613133,8.02577446453107,8.47067804047884e-52,1.00201062320498e-49
PA1870,-4.55708647215757,5.09208802468934,9.69274648177857e-52,1.12317172497018e-49
PA2564,-4.24956613967113,5.61275308740731,1.14464437078083e-50,1.29985814745871e-48
PA2180,-4.98056831671259,5.02170865391657,2.84144050721038e-50,3.16347043136089e-48
PA3365,-4.53821137803961,8.63067632588017,4.1618020669772e-50,4.54436771851857e-48
PA2512,-7.87444279387969,9.1300809811658,6.25626688646478e-50,6.7024685625183e-48
PA0852,-3.87743775029696,9.27439395458665,1.89816234636977e-49,1.99588255605326e-47
PA2134,-6.52617447817224,5.65222943024055,2.38518070800886e-49,2.46237382910442e-47
PA5421,-4.73680590827957,7.25381982712472,2.72074386372332e-49,2.75863993896804e-47
PA2375,-4.44511676519615,4.18880941726692,4.14726906809868e-49,4.13126206467795e-47
PA4209,-5.49253772736665,7.33275375885458,8.59802216928487e-49,8.41716722020681e-47
PA3930,-4.32440008809464,7.89902480322828,2.09912363906184e-48,2.0201396648463e-46
PA0051,-4.23414069945825,5.47656290347107,2.21174027001742e-48,2.09304354219315e-46
PA3362,-4.57611308726465,6.33941610601071,2.3767334887909e-48,2.20436589592814e-46
PA3032,-3.96717534354992,5.73804200154409,2.40702158414133e-48,2.20436589592814e-46
PA2142,-5.21453071771275,4.41073432575401,2.67887407660257e-48,2.41438841380149e-46
PA2554,-4.28356702012062,6.65551176454187,1.08716994640817e-47,9.64523586828994e-46
PA2787,-4.8450310684232,5.33466154385771,1.30589659442335e-47,1.14075090202089e-45
