,logFC,logCPM,PValue,FDR
PA2514,-8.59917376942992,8.24741182900895,3.05769164008757e-114,1.73615731324172e-110
PA2513,-8.20352477746421,7.67989317960907,8.08561978972641e-107,2.29550745830333e-103
PA0866,-6.28644965660216,8.22730636575987,2.65956573115334e-106,4.44807029780079e-103
PA2566,-6.49495610007369,6.62966152725156,3.13354723339259e-106,4.44807029780079e-103
PA3479,-6.71060037071843,8.19082941329309,1.95753842464674e-103,2.22298063502884e-100
PA2512,-8.61271772446968,9.32493864184191,7.04069478924383e-95,6.66284416888775e-92
PA1494,-7.00484894800597,9.74357868995917,5.88773529551858e-92,4.77579442970778e-89
PA2570,-8.11849095142214,5.71815698497771,4.73333825267695e-91,3.35948682483746e-88
PA2069,-8.94372067757328,9.07756633599045,6.83982637724298e-90,4.31517046333174e-87
PA2939,-6.66242893558224,7.80374619221009,8.88582097191857e-90,5.04536914785537e-87
PA2411,-7.95167653126095,7.134015198115,3.419985135131e-89,1.76533414520671e-86
PA2508,-8.38563739397473,6.55265530180077,2.16195586581689e-85,1.02296545050903e-82
PA1876,-6.13241657906219,6.5267275992584,2.27877069569372e-84,9.95296923857609e-82
PA2511,-5.9023741918673,6.93322350586404,2.10220405454578e-83,8.52593901550781e-81
PA0046,5.75542306802157,6.08169862377041,9.42132265637803e-83,3.56628466952763e-80
PA2682,-5.41990100787493,7.93767889961458,1.51854259279492e-82,5.38892802618096e-80
PA2553,-5.42275000120245,6.67791112116049,2.52418277472667e-82,8.43077046758706e-80
PA1877,-6.18566329690582,5.83417363372187,4.26345476745396e-80,1.34488312053353e-77
PA2066,-7.53304324815161,6.50620071529668,6.73176450248824e-80,2.01173467605938e-77
PA1874,-6.16473360590327,9.92473366790144,3.73861858594337e-78,1.06139381654932e-75
PA2552,-4.9716147535258,7.05771383472337,6.40165990276349e-78,1.73088690132815e-75
PA0045,5.63076636971746,7.39006221342676,1.01311335652334e-75,2.61475347197252e-73
PA3418,-4.94784965825271,6.61462166971539,1.87839331718826e-75,4.63718141521518e-73
PA3724,-8.62324079855199,11.4643104470306,1.85128240662378e-74,4.3798256270041e-72
PA2517,-8.75979711821555,3.83804430567575,4.04468189436883e-74,9.18628151849049e-72
PA3363,-4.77403211233903,6.89107801690078,8.98040138990096e-74,1.96118150353299e-71
PA1871,-5.58584773938925,7.16913987801012,2.01874718792284e-72,4.24535056778736e-70
PA2518,-7.26261537409006,5.27111716918746,5.66255730585842e-70,1.14828572795229e-67
PA1875,-6.12828216164741,6.192780186222,2.42040169713708e-69,4.73897959873943e-67
