,logFC,logCPM,PValue,FDR
PA2069,-8.17934345913923,8.82280374232115,1.08554994601085e-114,6.1637525934496e-111
PA2068,-7.0247516921675,6.61271631819719,3.83309528577963e-109,1.08821575163284e-105
PA2939,-5.90603552097396,7.48411200526619,7.86896796070655e-104,1.48933333602973e-100
PA4209,-5.7975415390697,7.55917510501974,7.50819465215984e-100,1.06578823087409e-96
PA3416,-6.73894465335234,5.7548306048675,8.60416286612745e-93,9.77088735077433e-90
PA2066,-5.85493478733081,6.38448958924523,3.18326626942485e-90,3.01243097963238e-87
PA1876,-4.7257873480041,6.03145740308387,3.73924784451679e-80,3.03306418016662e-77
PA2165,-5.8439727361797,6.33353359243616,5.6828044372501e-80,4.03337044933826e-77
PA3479,-5.29156161642169,8.14217577228752,6.91024627909713e-79,4.35959759696817e-76
PA3362,-4.84140675894497,6.22430907374699,3.3523300878175e-78,1.90345302386278e-75
PA2164,-5.86000454170497,5.96796055145906,1.17915787646833e-76,6.08659856598834e-74
PA3415,-5.56704178316544,5.69396448374928,1.42557603249021e-76,6.74535059373286e-74
PA2566,-5.59215252094384,6.32657222267382,1.17904885020188e-74,5.1497225934202e-72
PA3417,-6.48396065174552,5.82558587899606,3.66179926559317e-73,1.48512115928843e-70
PA1196,5.10325802173217,7.07509250420303,1.08586214843731e-72,4.11035018588471e-70
PA3922,-5.13428559573006,7.30585460256072,1.10005951848899e-71,3.90383621623779e-69
PA3724,-7.20627955844648,10.68358820459,3.3208181765739e-71,1.10915327097568e-68
PA2506,-7.47545711951481,5.06303443712522,4.36607128033728e-71,1.37725292943084e-68
PA2787,-5.19963285018293,5.29463927741258,1.93078835138726e-70,5.77000855746151e-68
PA3418,-4.5319763268146,6.37878120882811,4.24715017981707e-69,1.20576593605007e-66
PA1874,-5.13227005697746,9.64006534193061,1.35861254151426e-68,3.67342952891332e-66
PA2375,-5.34979488355048,4.22695751312025,5.58592455885468e-68,1.41168163875647e-65
PA3049,-7.56980140010614,11.4875323230983,5.71832999144043e-68,1.41168163875647e-65
PA3924,-4.24775486789315,6.98111595165572,7.19621117962409e-68,1.70250362824607e-65
PA2519,-5.2059458260043,6.75978857228465,1.20378125600822e-67,2.73402798864587e-65
PA3365,-5.14559484178188,8.71060369776837,3.78222867186133e-65,8.259805538011e-63
PA2518,-5.24626678104511,4.83888669153552,4.0650789758219e-65,8.54871052767286e-63
PA1494,-5.82134266973487,9.39196333886125,4.69418727247307e-65,9.5191411903936e-63
PA2511,-4.85507221063377,6.94004284303343,7.71786799427964e-65,1.51110532660413e-62
PA2151,-4.91587769802296,6.23867065952674,1.14139011354214e-64,2.16027102156409e-62
PA0866,-5.67047468743919,8.12594411811584,1.09736835481478e-62,2.00995403827043e-60
PA4306,-5.82258840973906,5.93182530859656,1.77868854490112e-62,3.15606048685892e-60
PA3923,-4.57041283051235,7.91584403982359,3.85957953367841e-62,6.64081593703818e-60
PA4919,4.65545116228428,7.50792111456702,7.45674596912413e-61,1.24527657684373e-58
PA3451,-5.36682989929626,5.98612150267275,8.71673965338106e-61,1.41410422148279e-58
PA2158,-5.75085535507869,5.93397727115486,2.11979417161854e-60,3.3433864740139e-58
PA3530,-5.7909218625625,5.74716725015753,9.12957343509913e-60,1.40101940444575e-57
PA1982,-5.64617519675727,6.27074800662732,1.74720759619658e-59,2.61069598189584e-57
PA2517,-7.16597229905591,3.73739166439322,2.67106307219416e-59,3.8887938779278e-57
PA2515,-8.02459890936719,6.65966320847348,4.93449503188573e-59,7.0045156977618e-57
PA3478,-3.77051981159625,6.63524225622494,6.71210305457557e-59,9.29544418143417e-57
PA1875,-4.39548656649136,5.69103334573491,8.46048652962971e-59,1.14377720274375e-56
PA3554,3.89419968370962,6.48349854351235,9.60206506743188e-59,1.26791919657856e-56
PA2173a,-6.23607846451555,4.33743741260412,1.35386195942763e-58,1.74709731946138e-56
PA1174,-4.23583596678396,7.18120814196864,2.38629213283669e-58,3.01097038449927e-56
PA0122,-4.46046955357931,8.17227661615885,3.7223343052342e-58,4.59465525763474e-56
PA2507,-8.14496598779079,8.30243992868037,9.9004181873884e-58,1.19605477591471e-55
PA3723,-3.75720874933631,7.09074357274788,1.35546588810656e-57,1.60340319013938e-55
PA3844,-4.04802320755656,6.69843288696516,2.42761321278854e-57,2.81305873922721e-55
PA2159,-6.96976448752482,5.97921031407303,1.82603292935725e-56,2.07364299457809e-54
PA2163,-6.27333561748521,5.37405730618137,3.61228831254251e-56,4.02168098796399e-54
PA0105,-3.74858141286054,6.84350631588049,3.73643051225798e-56,4.079894701654e-54
PA2554,-4.60757076372894,6.52444587919579,2.85920802796657e-55,3.063128902414e-53
