,logFC,logCPM,PValue,FDR
PA0277,7.79063514165117,8.78750575242827,3.32173019610534e-131,1.88607840534861e-127
PA2566,-5.53428995570519,6.7502607245264,1.51423363839258e-104,4.29890929939652e-101
PA2069,-7.4471246815725,8.75812455903916,1.6311850444439e-102,3.08728956078416e-99
PA3416,-6.56046228567678,6.26433471072061,9.52687161126326e-99,1.35233942521882e-95
PA2068,-6.64224851392513,6.4864446020739,1.77935465465446e-98,2.0206351458256e-95
PA4209,-5.40139915769398,7.7489045221476,7.08087188674625e-87,6.70086509549087e-84
PA3032,-5.10150499852313,6.38691592126709,9.68486991515937e-87,7.85581305403927e-84
PA0091,5.24798643256405,8.76811197464918,3.8591349630565e-84,2.73902104002935e-81
PA2067,-6.31748753420866,4.87144129986828,8.42874632754649e-83,5.31760240531211e-80
PA3724,-7.25921764265915,11.4238698338647,1.18355126398808e-82,6.72020407692433e-80
PA2173a,-7.12595357160238,4.63258062884749,2.39377630685511e-82,1.23562380639303e-79
PA1877,-5.37784412379869,6.20801685867946,3.45969850815984e-80,1.63701401077763e-77
PA0078,5.32782558307589,7.95460104495572,7.01581494704623e-80,3.06429209764065e-77
PA2570,-8.40407373936996,6.73677892956931,2.37766776936789e-79,9.64314113890777e-77
PA4110,6.97000417668018,11.0522306814735,1.36323411349076e-78,5.1602955309337e-76
PA2787,-5.16028527713083,5.79170768506251,1.8049728205091e-77,6.40539729678165e-75
PA3727,4.45057695896384,5.94166490273501,2.25019528936012e-77,7.51565226646281e-75
PA4306,-6.82006662158727,7.03065464528444,7.66912359742238e-77,2.41918243256468e-74
PA3479,-5.05066440156614,8.31059365767791,1.4689388103601e-75,4.38980766590771e-73
PA1791,5.4822886354482,7.20507334409139,1.81674988911381e-75,5.15775293519412e-73
PA1875,-4.99760353677447,6.72407866195067,7.26799159414387e-75,1.96512648912138e-72
PA0051,-4.77420047275537,5.88187322059181,9.08667846082243e-75,2.34518910457044e-72
PA2426,-6.16048236693062,5.16798923294971,8.46045967778328e-74,2.08863000219363e-71
PA2511,-5.29733223445005,7.5673206395129,2.82361125508536e-73,6.68019362765612e-71
PA0089,5.62411465673574,7.35999254078885,3.62313858836739e-73,8.22887236190001e-71
PA0090,5.52923409178346,9.77511140905742,7.55133256697691e-73,1.62407749363558e-70
PA3924,-4.38771013545908,7.61099480257461,7.72280597537172e-73,1.62407749363558e-70
PA0046,5.04258974776276,5.3938949945071,2.32551500944695e-71,4.7158122227285e-69
PA2066,-5.03011568306437,6.28091610775896,3.39374978476478e-71,6.64472802686014e-69
PA3417,-5.95639502003803,6.01212926068859,5.17955954552168e-71,9.80317969982402e-69
PA4637a,-6.83067138158401,9.54412727351984,6.21065282270654e-71,1.13755118475251e-68
PA0126,6.90430270178886,8.59030306500573,8.67169269674565e-71,1.53868347287881e-68
PA0083,5.08498530131691,9.22218925593622,1.05675456644961e-69,1.81825831160633e-67
PA2939,-5.85360139092812,8.57493908378319,1.55751106891374e-69,2.60104348508594e-67
PA3520,-6.1434361330619,5.231113042597,3.70305842771926e-67,6.00741878645427e-65
PA5421,-4.6218188694653,7.70182369539631,5.89163268581938e-66,9.29241399724512e-64
PA3922,-4.56709648191638,7.714693214592,7.24021428267187e-66,1.11107937018948e-63
PA1174,-4.3637077173274,7.94436212629501,7.91682171680626e-64,1.18293983442174e-61
PA4471,-5.70070350043429,5.44193609880387,1.3230129769132e-63,1.92617120074696e-61
PA3728,4.54888462570917,8.8618609701053,2.97846527572307e-63,4.2279314588889e-61
PA2564,-4.06407420871785,5.79784844349434,6.32912327301512e-63,8.76506388882435e-61
PA3362,-4.64057170414178,6.69636980843383,9.49470909791343e-63,1.28359424423696e-60
PA3415,-4.8125572070694,5.99862365729102,2.09626112490052e-62,2.76803969004306e-60
PA3049,-7.54326536369622,12.0784621166525,1.73712221611061e-61,2.24167725979001e-59
PA0074,4.30768410747904,8.45853244276656,9.11311878730116e-61,1.14987307720658e-58
PA2164,-5.00978413450341,6.0598543293307,1.09826756154018e-60,1.35564417704894e-58
PA0088,5.79110210983577,7.93559831224931,4.44115965485981e-60,5.36529883410511e-58
PA1876,-5.01076500171647,6.81643891558405,1.17893829122573e-59,1.39458575366244e-57
PA4141,-6.35178562337404,10.6217085121269,1.50870077924275e-59,1.74824551521232e-57
PA1196,5.27037373029139,7.51075613657081,1.56546257435741e-59,1.77773929944027e-57
PA0052,-4.49125797598906,6.17686015918903,2.24967290709477e-59,2.50463583656551e-57
PA0085,6.19734912124646,10.8193844712854,5.11027946504227e-59,5.58003207740577e-57
PA3930,-3.89653799800197,7.85722940317396,6.32625151408551e-59,6.77744454659953e-57
PA2867,3.58530903710868,6.25069539469019,8.08108180546974e-59,8.49710786878836e-57
PA0092,3.95698684362942,5.77395229739492,2.26205199173965e-58,2.33526021983595e-56
PA2190,-6.06075900065598,7.09883953722276,1.69632552773691e-57,1.7199529190161e-55
PA1130,-3.60491579831906,6.11317164885072,1.85545003448586e-57,1.84828864838784e-55
PA3716,4.34756566804711,9.08474887611724,3.74855405333294e-57,3.66970515772835e-55
PA2165,-4.95289977433105,6.46749167653663,2.24685887055678e-56,2.16231604525786e-54
PA2375,-4.74247545186091,4.57822285991478,2.73690088314388e-56,2.5900205357485e-54
PA3723,-3.90923335508441,7.62978078298594,3.81275364046642e-56,3.54898609353579e-54
PA0212,-5.82323999034618,6.07878342128961,8.87622417104114e-56,8.12890336180187e-54
PA0086,5.13813355652781,8.0596559776795,1.37298551005298e-55,1.23743043271124e-53
PA0524,-4.80153972160209,9.69527610217997,1.27773696674053e-54,1.13359226518011e-52
PA0084,5.20834299404167,10.8694286277158,1.89146360791404e-54,1.65226621011322e-52
PA0141,4.44291791861996,8.0556944876063,4.10537551836945e-54,3.53186699898512e-52
PA2323,3.83488103454,7.90853836977286,5.60900267957843e-54,4.75342047979796e-52
PA2506,-7.62588597209186,5.29105752454155,1.02915062963846e-53,8.59340775748112e-52
PA0075,5.33523280428987,6.4365288485462,1.11844026319236e-53,9.20362871653074e-52
PA4159,-4.40225928613624,4.70191047224597,5.42488308665192e-53,4.4003551665728e-51
PA3337,4.82018268535094,8.06943406578653,6.29382996503522e-53,5.03329106217887e-51
PA2746,-4.53428732303389,7.3170809186108,7.63963395142428e-53,6.02470021891487e-51
PA1673,4.74410326402351,8.18793924897373,1.05085350076916e-52,8.17362490050312e-51
PA2507,-7.72145750663843,8.58202450180608,1.12173906689352e-52,8.60707354300188e-51
PA1177,-4.27589165652308,4.04988015219283,3.85491074122002e-52,2.91842442515297e-50
PA3729,4.46484414508865,9.18159341707667,4.51306081931873e-52,3.3717314910647e-50
PA2163,-5.49032468528905,5.31939004953923,7.15395807417633e-52,5.27534726560691e-50
PA2763a,-3.66004856388062,5.26297683744769,9.90934856705683e-52,7.21349758509599e-50
PA0087,6.11066036469181,6.79016755321618,2.47171917134582e-51,1.77650904492425e-49
PA1874,-5.12781059217581,10.4998279093562,3.7684802174548e-51,2.67467883433854e-49
PA2322,3.93533295503155,6.80511497728709,3.90890570170657e-51,2.74009463880122e-49
PA0122,-4.75554302413192,8.90299945591234,1.4680683826546e-50,1.01654783862351e-48
PA0070,5.30066517129193,10.4353134048432,2.14025221363959e-50,1.46413880349947e-48
PA0077,5.22361032255192,9.60219004104786,3.81665290653653e-50,2.5798756194422e-48
PA2146,-9.13385924148605,8.04031644832532,2.17210601679843e-49,1.45096681922135e-47
PA4490,3.37281755937633,6.04864695468005,2.81349944344319e-49,1.85756393486866e-47
PA4774,3.97109310321214,5.79953503633809,6.03076510810298e-49,3.93594072227687e-47
PA0045,4.77733024441754,6.21622939539758,1.56270093955837e-48,1.00829726531959e-46
PA4468,-4.43127797676954,6.47984325418677,2.00544402167821e-48,1.2794282196729e-46
PA1844,4.68304198494211,6.44301173539398,2.31670951931392e-48,1.46158629451827e-46
PA3451,-5.6797492425874,6.37605152004518,2.55060700579979e-48,1.59146665702541e-46
PA2134,-6.00049277636201,6.23257647819434,4.04091280104984e-48,2.49394596569141e-46
PA1395,4.26809571542764,4.92529678440349,8.71426243069707e-48,5.32038517005354e-46
