Geneid	B1C.sam	B2C.sam	B3C.sam	P1C.sam	P2C.sam	P3C.sam
PA0001	8745	6943	2057	11959	12006	13782
PA0002	6164	6022	1299	12322	9793	10478
PA0003	4803	3196	2099	3444	5258	6596
PA0004	11836	14263	2953	20876	24855	22586
PA0005	763	709	359	956	1519	1402
PA0006	1267	890	344	916	849	1091
PA0007	3494	2409	813	415	787	920
PA0008	5234	5153	1605	6315	11185	11635
PA0009	3288	2641	1385	4257	4900	4284
PA0010	835	549	266	342	423	517
PA0011	2093	1670	1304	1121	1184	1597
PA0012	545	315	273	470	196	303
PA0013	429	250	110	452	490	351
PA0014	96	82	57	124	109	89
PA0015	850	743	342	635	886	1092
PA0016	1781	1952	515	3498	4059	3471
PA0017	886	1195	282	1217	2030	2225
PA0018	659	786	363	812	1513	1678
PA0019	2521	1990	921	6604	3616	4548
PA0020	2433	2216	966	9865	9029	9402
PA0021	69	98	24	47	43	83
PA0022	946	749	338	790	1403	1045
PA0023	1751	1623	698	1316	1379	1856
PA0024	2010	2217	1273	6184	5331	7860
PA0025	1018	1023	546	1537	2840	3707
PA0026	418	400	236	1758	1340	2189
PA0027	185	277	88	542	729	949
PA0028	20	49	13	48	94	133
PA0029	165	148	39	94	151	205
PA0030	149	93	34	83	111	147
PA0031	619	547	103	439	341	454
PA0032	447	275	93	392	573	735
PA0032a	762	490	202	151	321	428
PA0033	334	378	60	115	213	267
PA0034	249	188	77	153	192	218
PA0035	1433	1208	384	1241	1595	2012
PA0036	2339	1516	374	1990	2124	2423
PA0037	895	300	98	302	501	569
PA0038	4080	3426	1546	782	739	837
PA0039	11872	10181	4460	4165	4088	3829
PA0040	310	161	146	725	887	1018
PA0041	1149	996	480	4464	3968	5081
PA0041a	72	80	44	1174	498	1139
PA0042	551	357	244	610	751	758
PA0043	832	694	198	435	491	778
PA0044	1280	971	751	3731	3976	3304
PA0045	180	127	49	3137	3688	2737
PA0046	58	31	16	894	1551	1401
PA0047	123	84	28	762	1559	1345
PA0048	427	351	163	127	251	355
PA0049	3374	3136	1020	719	603	944
PA0050	1798	1427	1279	132	143	142
PA0051	2290	2885	804	67	93	121
PA0052	3607	2224	1210	141	116	177
PA0054	646	465	207	496	665	918
PA0055	1323	1160	904	1079	855	1282
PA0056	124	138	29	111	154	194
PA0057	221	222	122	102	137	163
PA0058	111	145	52	17	58	97
PA0059	6577	7305	2256	407	286	335
PA0060	1010	1216	357	527	358	414
PA0061	950	941	383	331	445	836
PA0062	1196	2215	815	451	378	430
PA0063	711	860	171	469	535	1156
PA0064	434	460	148	763	1006	1195
PA0065	621	638	174	1527	1232	1313
PA0066	401	400	85	594	525	613
PA0067	8046	7558	2124	6866	9872	11997
PA0068	1071	1020	445	581	1080	1502
PA0069	360	240	243	488	1269	1370
PA0070	1271	1327	659	22603	24758	26384
PA0071	3397	2783	913	7149	5546	6050
PA0072	74	99	37	391	787	1006
PA0073	19	45	15	158	179	319
PA0074	541	513	280	6526	6726	7648
PA0075	86	133	25	1611	1495	1686
PA0076	121	200	40	758	1085	1921
PA0077	886	780	204	10607	13974	16095
PA0078	265	250	53	3299	4017	4696
PA0079	477	359	143	2401	3509	4715
PA0080	191	128	88	1835	1345	1596
PA0081	3690	1715	882	4920	4020	7185
PA0082	1090	733	233	2686	3549	3573
PA0083	755	522	110	9191	7989	9765
PA0084	2420	1663	449	30978	28867	36586
PA0085	1119	955	280	22028	23709	21628
PA0086	384	293	72	2284	3707	5487
PA0087	119	63	15	1258	2016	1865
PA0088	307	205	59	3025	3533	4481
PA0089	133	93	39	1475	1997	3038
PA0090	915	660	240	9382	11703	14852
PA0091	484	487	176	4972	6605	7303
PA0092	147	155	76	837	969	1066
PA0093	326	238	127	1054	1016	1647
PA0094	194	127	107	918	634	591
PA0095	8580	4041	1536	3800	3678	5267
PA0096	153	96	29	143	163	197
PA0097	178	146	38	260	343	584
PA0098	83	82	20	76	172	216
PA0099	325	193	120	1160	587	762
PA0100	1135	927	247	1656	1584	1741
PA0101	287	260	72	367	569	738
PA0102	7828	7896	2650	2409	3530	3964
PA0103	824	928	276	235	408	580
PA0103a	644	486	150	967	634	697
PA0105	10013	5798	1936	406	427	753
PA0106	4148	2380	883	300	271	412
PA0107	1201	618	268	28	27	46
PA0108	3504	2068	629	251	157	297
PA0109	1076	674	240	64	68	115
PA0110	861	429	120	29	34	58
PA0111	632	347	107	19	19	26
PA0112	532	301	123	58	74	121
PA0113	712	456	220	185	212	360
PA0114	3913	2729	1283	2031	1331	1514
PA0115	804	553	312	486	621	663
PA0116	2155	2585	758	1915	1981	2309
PA0117	1087	1084	411	6444	5678	10187
