Geneid	B1K.sam	B2K.sam	B3K.sam	P1K.sam	P2K.sam	P3K.sam
PA0001	5842	6150	2464	12749	14912	12813
PA0002	3549	3899	1445	11288	10754	9649
PA0003	3154	4083	2295	5829	7638	5570
PA0004	6613	7479	3350	18033	25387	23265
PA0005	646	1024	351	1480	1907	1761
PA0006	668	999	384	1359	1282	913
PA0007	2572	2834	736	813	1202	1016
PA0008	4056	5041	1364	6909	13729	11346
PA0009	2731	2882	1284	4653	6334	5094
PA0010	542	796	336	594	621	575
PA0011	1692	1886	1415	1526	1669	1338
PA0012	373	603	243	697	310	241
PA0013	292	282	138	544	678	657
PA0014	69	76	52	132	158	80
PA0015	507	616	366	845	1155	1022
PA0016	1248	1392	572	2888	4665	4048
PA0017	815	1152	317	1739	3146	2780
PA0018	616	901	344	1567	2461	1973
PA0019	1659	2277	908	8811	4762	3577
PA0020	2216	2282	986	7408	7372	8058
PA0021	61	122	26	86	107	129
PA0022	650	759	386	1070	1444	1744
PA0023	1153	1331	540	1882	1813	1753
PA0024	2219	2391	961	6599	7926	5381
PA0025	1077	1338	317	2586	3450	2591
PA0026	473	535	176	2122	1577	1096
PA0027	200	333	117	743	889	835
PA0028	39	53	6	66	99	80
PA0029	89	152	26	176	213	231
PA0030	64	108	22	142	146	134
PA0031	360	510	151	549	425	475
PA0032	253	407	111	727	838	814
PA0032a	445	716	144	328	425	384
PA0033	178	339	69	249	285	273
PA0034	121	176	87	284	307	299
PA0035	1038	1246	359	1618	2160	2155
PA0036	1086	1403	381	2330	2553	2550
PA0037	522	494	137	635	660	727
PA0038	2377	2635	1864	823	718	677
PA0039	7373	8444	4387	4501	3527	4173
PA0040	198	262	130	1198	1266	1168
PA0041	752	963	640	5032	5340	5241
PA0041a	65	37	49	1292	574	338
PA0042	390	402	200	876	907	909
PA0043	422	873	285	828	848	701
PA0044	757	1227	488	2850	2996	2192
PA0045	141	115	69	2172	3407	2970
PA0046	39	50	16	695	1367	1237
PA0047	81	137	32	731	1524	1491
PA0048	471	489	147	154	356	334
PA0049	3456	2908	793	417	550	515
PA0050	2023	2064	1546	134	142	131
PA0051	1596	2341	705	102	157	103
PA0052	2195	3968	934	195	149	115
PA0054	463	679	225	969	1076	989
PA0055	1527	1422	663	1448	1554	1504
PA0056	98	150	40	353	325	331
PA0057	210	241	97	128	180	206
PA0058	121	104	26	83	97	103
PA0059	4241	5822	1635	470	409	409
PA0060	686	1150	286	451	386	494
PA0061	666	1277	367	656	829	604
PA0062	870	1745	786	629	586	625
PA0063	731	954	167	848	1095	876
PA0064	333	533	161	1113	1361	1363
PA0065	458	554	199	1244	1371	1360
PA0066	179	331	173	553	622	684
PA0067	5122	7013	1992	9672	11224	10812
PA0068	770	963	378	863	1376	1191
PA0069	341	493	275	1170	2478	1888
PA0070	1777	1338	700	21464	26585	24553
PA0071	2883	2414	684	6870	7417	5870
PA0072	92	119	33	877	1174	986
PA0073	34	45	12	298	282	291
PA0074	591	542	348	8337	9001	7792
