Geneid	B1N.sam	B2N.sam	B3N.sam	P1N.sam	P2N.sam	P3N.sam
PA0001	6454	4474	7556	17401	17599	16664
PA0002	4737	1722	5458	12891	9096	10777
PA0003	2718	3323	3997	10524	11180	10455
PA0004	11414	4524	14623	24238	22604	25492
PA0005	510	878	829	2925	2765	3035
PA0006	691	758	970	2181	1903	1923
PA0007	2029	1896	2194	1804	1944	1996
PA0008	3668	3452	4718	12446	13888	15249
PA0009	2094	1907	2328	7715	7971	8781
PA0010	338	553	468	591	787	676
PA0011	1041	1732	1662	1706	1898	1832
PA0012	248	172	240	554	311	343
PA0013	250	140	281	692	577	767
PA0014	70	52	129	150	174	134
PA0015	444	452	731	1291	1637	1460
PA0016	1214	969	2181	5986	5701	5831
PA0017	685	812	1426	4647	5229	4056
PA0018	430	796	708	3769	4938	3698
PA0019	1695	1151	2061	12855	6784	8537
PA0020	2302	1688	3063	9897	7848	9557
PA0021	50	75	75	223	200	128
PA0022	603	651	838	2269	2452	2448
PA0023	764	1263	1018	2909	3459	3245
PA0024	965	1626	1630	9281	11548	9171
PA0025	364	1146	722	3980	6294	3978
PA0026	261	398	338	979	958	1056
PA0027	113	185	277	364	303	343
PA0028	22	29	42	75	70	59
PA0029	70	98	110	240	235	207
PA0030	67	59	76	203	201	205
PA0031	306	269	496	644	606	571
PA0032	188	264	296	872	963	850
PA0032a	314	495	617	520	587	458
PA0033	113	152	208	303	300	313
PA0034	140	115	186	464	514	402
PA0035	616	739	978	1790	2000	1997
PA0036	795	886	1103	2381	2191	2748
PA0037	249	334	248	705	817	748
PA0038	2153	2051	3958	988	1063	893
PA0039	6359	6376	12654	5416	4320	6705
PA0040	146	278	214	3021	3707	2436
PA0041	786	738	1000	12603	13180	8084
PA0041a	56	29	63	674	446	422
PA0042	310	310	371	1334	1338	1397
PA0043	326	656	492	1186	1387	1018
PA0044	499	1141	920	5973	5547	3995
PA0045	126	98	150	8165	6791	7003
PA0046	45	39	55	2901	2915	3051
PA0047	94	99	97	3011	3275	2740
PA0048	427	378	286	576	1043	650
PA0049	3117	1972	2259	747	1229	908
PA0050	1857	2208	2137	136	275	161
PA0051	2056	2263	3413	144	189	104
PA0052	1149	3314	1892	127	124	138
PA0054	350	444	518	1539	1848	1489
PA0055	970	814	1112	2563	2812	2386
PA0056	59	88	93	297	364	299
PA0057	167	198	210	253	386	250
PA0058	75	134	98	152	242	127
PA0059	3567	4325	7920	995	1058	755
PA0060	584	564	1268	605	612	579
PA0061	291	1247	737	1097	1595	820
PA0062	828	1639	1907	989	1686	978
PA0063	382	808	808	2103	2258	1013
PA0064	277	423	445	2381	2805	2350
PA0065	444	416	517	2341	1946	2178
PA0066	281	201	355	951	989	1030
PA0067	4169	4296	7036	15139	14422	16644
PA0068	511	746	854	1806	2121	2222
PA0069	741	1879	1325	10222	16294	9153
PA0070	2429	1212	2239	45988	49362	36401
PA0071	3168	1260	3397	14429	18704	10867
PA0072	60	117	162	2714	4102	1746
PA0073	18	59	100	867	1215	362
PA0074	698	645	912	17705	24616	13081
PA0075	162	65	177	4414	5269	3296
PA0076	160	153	199	4308	7269	3183
PA0077	1055	785	962	35044	41186	25529
PA0078	337	274	294	10541	13007	7789
PA0079	418	521	391	11158	18014	9664
PA0080	231	169	161	4744	7203	4014
PA0081	3345	2673	3580	16225	17692	12106
PA0082	1484	1220	1486	12716	17188	9875
PA0083	1202	301	611	14954	16485	13400
PA0084	4543	1536	2219	52408	63331	45995
PA0085	2103	649	1326	32123	33353	24791
PA0086	291	452	309	10881	16084	7110
