Geneid	B1P.sam	B2P.sam	B3P.sam	P1P.sam	P2P.sam	P3P.sam
PA0001	6893	2762	3411	15794	16411	9965
PA0002	2802	1580	1750	14174	9846	6961
PA0003	4239	2052	3067	6115	8855	4036
PA0004	6376	3772	4311	24456	23257	18579
PA0005	909	337	698	1623	1997	688
PA0006	958	433	658	1397	1197	590
PA0007	3120	939	1482	839	1070	490
PA0008	4366	1616	3025	10432	10558	6750
PA0009	2805	1535	2145	5469	5625	2494
PA0010	830	327	500	577	503	196
PA0011	2991	1359	1814	1505	2070	926
PA0012	372	165	307	427	196	180
PA0013	228	66	139	629	437	308
PA0014	57	65	45	117	186	62
PA0015	807	353	444	968	1634	668
PA0016	1138	601	920	4266	4793	2183
PA0017	709	413	525	2790	3002	1968
PA0018	832	417	626	1736	2632	876
PA0019	1443	884	1230	6627	4306	3415
PA0020	1879	905	1189	7743	7672	3048
PA0021	81	36	53	52	107	64
PA0022	925	359	471	1162	1241	663
PA0023	1635	743	1057	1647	2173	797
PA0024	2682	1005	1530	8943	9339	3368
PA0025	1579	407	909	2272	5587	1294
PA0026	454	220	314	1777	2481	851
PA0027	179	67	145	838	1279	402
PA0028	29	8	14	63	175	60
PA0029	120	59	59	183	179	101
PA0030	68	41	52	144	147	74
PA0031	307	199	249	450	513	239
PA0032	344	151	170	685	811	363
PA0032a	625	302	396	316	458	193
PA0033	224	77	135	223	245	122
PA0034	176	78	99	318	409	185
PA0035	1209	442	716	1989	1938	845
PA0036	1108	507	841	2361	1888	915
PA0037	590	121	254	478	596	211
PA0038	2986	2011	2214	438	984	386
PA0039	7481	5062	5893	2166	3037	1898
PA0040	298	119	207	710	882	308
PA0041	761	532	667	3517	3119	2411
PA0041a	49	25	59	752	1199	723
PA0042	461	188	286	654	801	364
PA0043	671	313	451	640	856	312
PA0044	1415	574	1032	2604	2437	1522
PA0045	111	60	94	1405	1099	653
PA0046	43	6	55	406	426	313
PA0047	128	30	60	655	305	378
PA0048	571	131	239	184	137	102
PA0049	2751	957	1262	304	409	173
PA0050	2714	761	1454	97	159	82
PA0051	1896	674	1270	117	130	74
PA0052	2376	1730	2451	117	232	47
PA0054	487	253	349	684	1188	439
PA0055	1389	623	953	1660	1478	742
PA0056	108	55	87	221	242	163
PA0057	267	113	170	217	152	99
PA0058	135	53	82	52	113	31
PA0059	4926	2532	3956	431	593	240
PA0060	790	362	658	415	408	244
PA0061	1097	564	917	413	1150	266
PA0062	1400	826	1606	706	849	304
PA0063	613	349	550	687	1194	685
PA0064	317	165	319	1064	1049	545
PA0065	483	253	322	1464	1076	635
PA0066	252	124	184	633	449	468
PA0067	5805	2419	4043	10151	10303	5753
PA0068	1052	430	715	1119	1558	638
PA0069	623	241	425	898	1714	416
PA0070	1305	500	1060	15199	13543	12180
PA0071	1519	972	1447	5005	5381	3302
PA0072	92	39	74	600	773	398
PA0073	21	12	23	102	261	221
PA0074	666	257	510	5382	6464	3016
PA0075	90	36	67	1602	1265	802
PA0076	165	64	128	1424	1544	988
