Geneid	B1Z.sam	B2Z.sam	B3Z.sam	P1Z.sam	P2Z.sam	P3Z.sam
PA0001	5010	3000	2813	13317	11755	12940
PA0002	2628	2011	1791	12617	9271	6101
PA0003	4067	4105	2770	5039	4884	5454
PA0004	6339	5420	4463	20508	20843	16752
PA0005	668	590	515	1239	1412	1206
PA0006	829	680	558	1055	981	884
PA0007	4146	2375	1817	944	1120	1216
PA0008	3488	2524	2221	7638	10269	7766
PA0009	2139	1800	1693	3785	3971	3977
PA0010	779	535	491	380	537	522
PA0011	2759	2653	1869	1247	1231	1579
PA0012	289	293	215	445	224	150
PA0013	218	187	178	420	461	279
PA0014	62	76	51	148	75	75
PA0015	1010	886	574	742	945	1276
PA0016	996	959	799	3064	3375	2127
PA0017	622	385	428	1739	2566	1967
PA0018	712	459	539	1325	1738	1660
PA0019	1259	1468	1261	6732	3540	3385
PA0020	1889	1189	1204	6187	5608	4278
PA0021	95	66	44	45	90	96
PA0022	765	462	504	1039	1318	1299
PA0023	1553	1314	1023	1836	1846	2549
PA0024	1876	1002	1207	8018	8116	11126
PA0025	1204	594	667	2897	3509	4342
PA0026	450	308	284	1305	1015	1478
PA0027	224	97	128	468	479	729
PA0028	32	11	22	54	74	83
PA0029	106	65	56	172	183	175
PA0030	53	61	53	147	158	142
PA0031	288	436	218	451	379	514
PA0032	294	237	185	563	665	719
PA0032a	535	483	275	340	411	519
PA0033	184	155	102	249	281	241
PA0034	186	175	121	249	304	282
PA0035	1186	1040	878	1677	2104	2165
PA0036	1380	1122	846	2020	2315	1914
PA0037	591	450	219	465	611	604
PA0038	3106	3952	3099	1168	865	824
PA0039	9366	9341	8177	6041	4523	4445
PA0040	273	310	155	2043	2041	2034
PA0041	750	754	727	12972	12589	10987
PA0041a	63	61	70	1294	626	2301
PA0042	464	348	365	1410	1526	1358
PA0043	683	514	383	779	756	927
PA0044	1013	1018	901	1914	1635	2161
PA0045	101	88	79	3630	4575	2180
PA0046	50	42	35	1701	2392	1777
PA0047	146	66	53	1950	3413	2080
PA0048	670	224	262	322	502	615
PA0049	3475	1492	1600	796	609	698
PA0050	3607	1596	1963	623	593	1241
PA0051	2712	1606	1644	102	107	91
PA0052	2644	2308	2159	185	112	146
PA0054	514	477	339	977	996	975
PA0055	1576	1178	1024	1118	1267	1491
PA0056	115	96	57	167	239	246
PA0057	238	201	154	136	158	204
PA0058	152	63	61	66	78	71
PA0059	3597	4066	3863	1012	807	533
PA0060	615	699	672	494	446	377
PA0061	897	863	887	723	769	767
PA0062	1211	1288	1893	1216	1235	1352
PA0063	610	526	425	844	1080	765
PA0064	371	262	246	1852	2190	2211
PA0065	411	337	317	1400	1357	1027
PA0066	300	212	200	564	619	541
PA0067	5055	4087	3310	10215	10377	10169
PA0068	858	629	578	1167	1409	1601
PA0069	611	339	306	2258	3594	3948
PA0070	1419	821	1271	71439	67135	56426
PA0071	1374	1528	1356	13229	11064	12423
PA0072	99	35	68	1660	1860	1730
PA0073	33	24	16	320	519	477
PA0074	738	473	539	17179	15040	15998
PA0075	99	38	79	3917	4652	3616
PA0076	157	98	91	2562	4276	5217
PA0077	1128	478	550	36312	40140	32884
PA0078	284	161	183	10791	12799	11321
PA0079	776	440	379	9644	12988	15349
PA0080	280	126	123	4797	5225	6153
PA0081	2527	2111	1547	8458	7844	8146
PA0082	1329	973	698	8244	12090	10373
PA0083	842	517	441	28333	27351	27910
PA0084	2514	1409	1285	90162	85925	86479
PA0085	1188	667	695	109057	83547	64973
PA0086	353	210	208	8789	14081	14490
PA0087	102	36	32	5941	5730	4078
PA0088	256	117	93	12331	12135	10234
PA0089	170	79	94	8036	7100	8016
PA0090	858	531	548	36462	44094	43092
PA0091	473	314	366	20053	21523	19694
PA0092	145	88	108	2496	2524	2366
PA0093	350	216	213	3503	4367	4125
PA0094	177	119	98	2386	1996	1580
PA0095	5972	6162	4041	11332	10058	12624
PA0096	153	87	54	543	556	648
PA0097	299	150	114	1446	1897	3023
PA0098	121	69	37	556	833	910
PA0099	267	150	153	2569	1533	1256
PA0100	750	632	495	4500	4222	4713
PA0101	234	164	137	1813	2050	2018
PA0102	5336	5097	4382	3874	4058	2771
PA0103	437	459	455	568	892	480
PA0103a	261	178	174	691	617	398
PA0105	8311	8380	5158	661	461	547
PA0106	3756	3115	1911	407	243	321
PA0107	1233	998	684	40	79	64
PA0108	2730	2603	1468	325	226	293
PA0109	765	858	529	100	66	120
PA0110	728	731	396	41	51	45
PA0111	560	431	256	37	18	36
PA0112	565	457	293	94	103	146
PA0113	655	579	342	275	249	267
PA0114	1673	1305	1302	1730	1263	1090
PA0115	611	422	478	660	642	654
PA0116	1775	1736	1389	1926	1880	2577
PA0117	995	834	593	6677	7632	7471
PA0118	1716	1375	1255	22942	15663	16297
PA0119	284	288	218	877	779	772
PA0120	238	157	138	609	727	591
PA0121	289	216	175	501	732	768
PA0122	15526	17178	14263	1054	661	746
PA0123	1017	894	676	471	683	829
PA0124	41	44	55	136	197	198
PA0125	38	31	43	76	114	167
PA0126	177	62	98	20232	18227	16665
PA0127	709	560	398	646	559	631
PA0128	1075	905	744	3570	2331	1990
PA0129	1577	1556	1354	1164	707	921
PA0130	3060	3684	2897	2199	1942	1847
PA0131	747	1020	863	689	627	595
PA0132	2827	4656	4281	1801	1127	1095
PA0133	551	538	351	670	678	465
PA0134	1267	1177	1138	1805	1314	1379
PA0135	27	29	29	24	14	26
PA0136	96	74	44	113	116	141
PA0137	61	47	27	67	68	83
PA0138	106	123	108	216	177	165
PA0139	3668	4174	3535	29819	12087	8336
PA0140	348	262	253	2928	3629	3252
PA0141	496	297	410	13015	10956	12618
PA0142	405	263	203	464	587	589
PA0143	1825	1331	1363	1998	1680	1314
PA0144	468	291	310	417	530	475
PA0145	444	392	278	526	812	883
PA0146	78	83	65	159	196	175
PA0147	334	326	260	675	609	831
PA0148	696	758	547	1756	1326	918
PA0149	279	155	149	56	113	90
PA0150	129	55	48	54	193	83
PA0151	126	167	138	175	211	212
PA0152	562	403	352	662	678	856
PA0153	293	494	341	225	194	245
PA0154	291	451	232	223	169	169
PA0155	760	698	567	764	768	732
PA0156	783	680	621	1404	1506	1131
PA0157	510	296	359	819	1020	1054
PA0158	2113	1567	1863	4091	3794	3706
PA0159	706	497	438	1131	1425	1658
PA0160	92	56	69	142	98	126
PA0162	409	385	238	1001	1360	1061
PA0163	549	358	301	363	540	657
PA0164	377	334	265	823	2319	2757
PA0165	170	194	118	1908	2033	1054
PA0166	116	145	103	163	183	168
PA0167	1389	906	691	1370	1322	1037
PA0168	405	217	176	614	686	582
PA0169	204	202	122	1325	2777	1433
PA0170	71	54	37	524	1121	566
PA0171	19	23	9	919	882	315
PA0172	289	310	223	1332	1963	1389
PA0173	182	133	86	24	41	53
PA0174	113	94	63	34	27	23
PA0175	681	747	540	39	54	103
PA0176	2878	2895	2063	313	298	374
PA0177	390	304	291	48	62	52
PA0178	1185	962	764	265	226	315
PA0179	1106	1403	1022	424	297	299
PA0180	632	464	385	501	484	510
PA0181	436	388	293	967	751	1011
PA0182	321	213	161	268	388	328
PA0183	350	430	264	427	533	825
PA0184	88	81	70	107	168	166
PA0185	59	65	54	88	103	104
PA0186	282	228	179	212	213	259
PA0187	571	651	394	56	59	44
PA0188	560	534	302	61	50	75
PA0189	207	239	133	125	163	189
PA0190	149	99	126	116	107	147
PA0191	73	73	58	137	173	128
PA0192	150	149	101	167	237	270
PA0193	27	21	32	97	122	92
PA0194	63	64	67	92	133	143
PA0195	1017	902	812	855	825	831
PA0195.1	109	67	81	81	81	65
PA0196	377	314	290	477	334	338
PA0197	20	23	30	108	105	121
PA0198	184	177	97	246	382	447
PA0199	651	331	335	2475	2053	4544
PA0200	751	381	419	5065	2684	7530
PA0201	403	248	200	1116	1851	2239
PA0202	154	145	114	553	940	1081
PA0203	52	66	39	70	63	96
PA0204	76	85	50	109	79	105
PA0205	93	113	103	207	154	201
PA0206	178	211	225	234	180	180
PA0207	1050	927	631	662	666	1119
PA0208	3827	6972	5800	464	599	508
PA0209	491	719	588	22	33	18
PA0210	424	694	573	2	4	11
PA0211	1570	2633	2200	52	76	91
PA0212	1824	2725	2126	39	67	63
PA0213	167	234	167	9	15	9
PA0214	999	1199	951	61	67	142
PA0215	501	606	410	38	39	71
PA0216	2644	2540	1851	238	328	411
PA0217	904	898	585	403	369	299
PA0218	778	603	412	729	606	699
PA0219	44	40	36	95	118	106
PA0220	240	225	137	267	234	254
PA0221	83	75	72	221	196	232
PA0222	81	82	64	109	86	84
PA0223	155	172	129	374	343	365
PA0224	232	357	219	365	289	380
PA0225	287	191	179	461	451	404
PA0226	2539	11415	4169	214	288	311
PA0227	2272	9691	3088	78	106	109
PA0228	3022	10355	3527	286	312	282
PA0229	814	2615	815	320	251	244
PA0230	754	1403	610	286	469	474
PA0231	1029	1779	721	304	454	473
PA0232	437	725	277	291	263	226
PA0233	520	510	279	649	659	462
PA0234	254	254	197	167	164	258
PA0235	685	575	675	113	134	80
PA0236	161	117	152	322	501	426
PA0237	56	51	50	60	97	112
PA0238	72	70	55	64	72	56
PA0239	107	89	78	253	250	222
PA0240	203	219	148	238	268	264
PA0241	135	177	143	93	68	102
PA0242	348	1084	310	185	232	219
PA0243	359	492	307	696	667	425
PA0244	87	126	67	79	111	76
PA0245	300	333	195	159	223	159
PA0246	377	351	350	719	1045	919
PA0247	202	251	197	205	212	260
PA0248	319	231	211	805	807	871
PA0249	350	359	201	264	304	357
PA0250	890	1054	868	910	764	630
PA0251	91	99	73	114	127	126
PA0252	64	89	76	78	80	88
PA0253	252	231	173	242	354	277
PA0254	191	159	125	480	521	420
PA0255	340	306	197	663	575	480
PA0256	2053	1888	1232	523	391	435
PA0257	134	185	115	441	130	126
PA0258	142	138	106	266	224	298
PA0259	1906	1555	1126	3102	2955	4239
PA0260	1359	1043	1225	4116	3915	5036
PA0261	96	58	42	300	381	511
PA0262	757	654	532	2719	2768	3154
PA0263	199	191	240	229	116	200
PA0263.1	55	53	31	44	37	38
PA0265	10148	7108	5106	4135	8151	4782
PA0266	11605	7276	5800	6155	14206	7680
PA0267	546	335	303	812	1152	1000
PA0268	162	105	89	254	349	371
PA0269	523	531	550	697	573	880
PA0270	187	205	226	259	229	320
PA0271	84	91	74	142	124	147
PA0272	309	268	204	650	632	425
PA0273	90	33	32	26	48	72
PA0274	352	283	233	99	106	110
PA0275	767	748	410	787	660	718
PA0276	96	169	100	229	158	193
PA0277	69	62	71	21776	22091	19597
PA0278	69	76	59	112	139	134
PA0279	136	79	92	57	150	135
PA0280	177	134	216	1179	1688	1100
PA0281	211	118	204	950	1203	1008
PA0282	256	120	239	631	799	765
PA0283	611	389	524	1333	1833	1001
PA0284	259	241	242	643	535	311
PA0285	827	734	823	2322	2560	1613
PA0286	25531	14395	12515	11091	7792	5237
PA0287	117	91	58	56	86	60
PA0288	179	130	100	129	177	168
PA0289	372	364	257	794	713	579
PA0290	1292	1135	862	827	792	591
PA0291	1968	1853	1549	10383	10003	7421
PA0292	2449	1749	1337	3889	3672	2952
PA0293	196	180	144	713	870	763
PA0294	571	460	391	870	918	1122
PA0295	673	407	402	4404	3389	3267
PA0296	8949	9652	8750	9351	10954	7621
PA0297	2194	2777	1982	1796	1331	903
PA0298	5134	5629	4505	3225	4130	3771
PA0299	13438	11875	8516	6562	9876	11650
PA0300	6698	6663	4956	9015	5768	4614
PA0301	2135	1744	1344	3883	3085	2743
PA0302	2344	1601	1217	4164	4004	3349
PA0303	2029	1305	1125	3395	2747	2538
PA0304	2517	1316	1043	4779	4352	3086
PA0305	837	659	600	1668	1850	1935
PA0306	551	502	489	1120	1085	1171
PA0306a	1150	1051	1103	2571	917	836
PA0307	1225	794	691	331	555	614
PA0308	639	386	435	671	1044	826
PA0309	976	890	980	1157	1396	1101
PA0310	366	303	270	825	607	713
PA0311	174	89	95	160	191	282
PA0312	1655	1120	1042	971	1101	856
PA0313	960	643	572	728	850	823
PA0314	1684	1405	1198	1412	1268	823
PA0315	7648	5475	3732	5932	5012	1648
PA0316	4552	3327	2820	9731	9754	5872
PA0317	2569	1955	1733	5222	4489	3447
PA0318	2328	1313	1111	2422	2735	2618
PA0319	1137	524	625	2261	2447	1814
PA0320	454	2017	2683	953	1109	498
PA0321	247	251	322	307	294	462
PA0322	146	186	154	285	180	225
PA0323	128	124	107	203	114	136
PA0324	161	189	154	192	108	202
PA0325	276	296	210	299	229	324
PA0326	74	103	85	89	63	82
PA0327	290	363	469	795	879	514
PA0328	473	369	418	1980	1685	1614
PA0329	918	1057	1136	3654	1918	670
PA0330	914	845	579	1370	1490	736
PA0331	1995	1246	1216	4380	4876	4096
PA0332	1293	953	749	350	587	417
PA0333	488	320	237	714	1118	1016
PA0334	414	301	229	1538	1695	1550
PA0335	1734	1040	1034	2500	3006	2937
PA0336	3477	2403	2136	4268	4596	5469
PA0337	5913	4319	4014	16680	14980	17333
PA0338	575	353	362	943	1191	1120
PA0339	552	374	334	436	552	533
PA0340	549	344	326	679	706	513
PA0341	1265	622	641	1781	2417	2442
PA0342	1294	962	848	2599	2511	1647
PA0343	911	729	504	1198	1272	1211
PA0344	284	209	245	790	909	770
PA0345	281	265	199	295	430	296
PA0346	16	15	41	115	98	83
PA0347	169	152	182	285	394	413
PA0348	129	135	87	175	162	213
PA0349	187	140	99	189	148	275
PA0350	344	246	221	443	722	596
PA0351	802	624	527	1243	1059	1312
PA0352	363	260	199	1245	1640	1052
PA0353	2709	2833	2141	8167	7346	6397
PA0354	1252	974	1003	2069	2890	2216
PA0355	1064	996	855	962	901	719
