Geneid  B1C     B1K     B1N     B1P     B1Z     B2C     B2K     B2N     B2P     B2Z     B3C     B3K     B3N     B3P     B3Z     P1C     P1K     P1N     P1P     P1Z     P2C     P2K     P2N     P2P     P2Z     P3C     P3K     P3N     P3P
PA0002      6164    3549    4737    2802    2628    6022    3899    1722    1580    2011    1299    1445    5458    1750    1791   12322   11288   12891   14174   12617    9793   10754    9096    9846    9271   10478    9649   10777    6961
PA0004     11836    6613   11414    6376    6339   14263    7479    4524    3772    5420    2953    3350   14623    4311    4463   20876   18033   24238   24456   20508   24855   25387   22604   23257   20843   22586   23265   25492   18579
PA0008      5234    4056    3668    4366    3488    5153    5041    3452    1616    2524    1605    1364    4718    3025    2221    6315    6909   12446   10432    7638   11185   13729   13888   10558   10269   11635   11346   15249    6750
PA0016      1781    1248    1214    1138     996    1952    1392     969     601     959     515     572    2181     920     799    3498    2888    5986    4266    3064    4059    4665    5701    4793    3375    3471    4048    5831    2183
PA0017       886     815     685     709     622    1195    1152     812     413     385     282     317    1426     525     428    1217    1739    4647    2790    1739    2030    3146    5229    3002    2566    2225    2780    4056    1968
PA0019      2521    1659    1695    1443    1259    1990    2277    1151     884    1468     921     908    2061    1230    1261    6604    8811   12855    6627    6732    3616    4762    6784    4306    3540    4548    3577    8537    3415
PA0020      2433    2216    2302    1879    1889    2216    2282    1688     905    1189     966     986    3063    1189    1204    9865    7408    9897    7743    6187    9029    7372    7848    7672    5608    9402    8058    9557    3048
PA0024      2010    2219     965    2682    1876    2217    2391    1626    1005    1002    1273     961    1630    1530    1207    6184    6599    9281    8943    8018    5331    7926   11548    9339    8116    7860    5381    9171    3368
PA0025      1018    1077     364    1579    1204    1023    1338    1146     407     594     546     317     722     909     667    1537    2586    3980    2272    2897    2840    3450    6294    5587    3509    3707    2591    3978    1294
PA0026       418     473     261     454     450     400     535     398     220     308     236     176     338     314     284    1758    2122     979    1777    1305    1340    1577     958    2481    1015    2189    1096    1056     851
PA0038      4080    2377    2153    2986    3106    3426    2635    2051    2011    3952    1546    1864    3958    2214    3099     782     823     988     438    1168     739     718    1063     984     865     837     677     893     386
PA0040       310     198     146     298     273     161     262     278     119     310     146     130     214     207     155     725    1198    3021     710    2043     887    1266    3707     882    2041    1018    1168    2436     308
PA0041      1149     752     786     761     750     996     963     738     532     754     480     640    1000     667     727    4464    5032   12603    3517   12972    3968    5340   13180    3119   12589    5081    5241    8084    2411
PA0041a       72      65      56      49      63      80      37      29      25      61      44      49      63      59      70    1174    1292     674     752    1294     498     574     446    1199     626    1139     338     422     723
PA0045       180     141     126     111     101     127     115      98      60      88      49      69     150      94      79    3137    2172    8165    1405    3630    3688    3407    6791    1099    4575    2737    2970    7003     653
PA0046        58      39      45      43      50      31      50      39       6      42      16      16      55      55      35     894     695    2901     406    1701    1551    1367    2915     426    2392    1401    1237    3051     313
PA0047       123      81      94     128     146      84     137      99      30      66      28      32      97      60      53     762     731    3011     655    1950    1559    1524    3275     305    3413    1345    1491    2740     378
PA0049      3374    3456    3117    2751    3475    3136    2908    1972     957    1492    1020     793    2259    1262    1600     719     417     747     304     796     603     550    1229     409     609     944     515     908     173
PA0050      1798    2023    1857    2714    3607    1427    2064    2208     761    1596    1279    1546    2137    1454    1963     132     134     136      97     623     143     142     275     159     593     142     131     161      82
PA0051      2290    1596    2056    1896    2712    2885    2341    2263     674    1606     804     705    3413    1270    1644      67     102     144     117     102      93     157     189     130     107     121     103     104      74
PA0052      3607    2195    1149    2376    2644    2224    3968    3314    1730    2308    1210     934    1892    2451    2159     141     195     127     117     185     116     149     124     232     112     177     115     138      47
PA0059      6577    4241    3567    4926    3597    7305    5822    4325    2532    4066    2256    1635    7920    3956    3863     407     470     995     431    1012     286     409    1058     593     807     335     409     755     240
PA0064       434     333     277     317     371     460     533     423     165     262     148     161     445     319     246     763    1113    2381    1064    1852    1006    1361    2805    1049    2190    1195    1363    2350     545
PA0065       621     458     444     483     411     638     554     416     253     337     174     199     517     322     317    1527    1244    2341    1464    1400    1232    1371    1946    1076    1357    1313    1360    2178     635
PA0070      1271    1777    2429    1305    1419    1327    1338    1212     500     821     659     700    2239    1060    1271   22603   21464   45988   15199   71439   24758   26585   49362   13543   67135   26384   24553   36401   12180
PA0071      3397    2883    3168    1519    1374    2783    2414    1260     972    1528     913     684    3397    1447    1356    7149    6870   14429    5005   13229    5546    7417   18704    5381   11064    6050    5870   10867    3302
PA0072        74      92      60      92      99      99     119     117      39      35      37      33     162      74      68     391     877    2714     600    1660     787    1174    4102     773    1860    1006     986    1746     398
PA0074       541     591     698     666     738     513     542     645     257     473     280     348     912     510     539    6526    8337   17705    5382   17179    6726    9001   24616    6464   15040    7648    7792   13081    3016
PA0075        86     132     162      90      99     133     120      65      36      38      25      48     177      67      79    1611    1590    4414    1602    3917    1495    2465    5269    1265    4652    1686    2066    3296     802
PA0076       121     209     160     165     157     200     176     153      64      98      40      72     199     128      91     758    1235    4308    1424    2562    1085    2252    7269    1544    4276    1921    1983    3183     988
PA0077       886    1142    1055     905    1128     780     949     785     306     478     204     330     962     616     550   10607   14627   35044   11005   36312   13974   18562   41186    9344   40140   16095   16202   25529    4452
PA0078       265     392     337     280     284     250     345     274     104     161      53     100     294     161     183    3299    4576   10541    3409   10791    4017    5888   13007    2420   12799    4696    5401    7789    1510
PA0079       477     499     418     650     776     359     472     521     205     440     143     183     391     330     379    2401    4187   11158    3331    9644    3509    6547   18014    3177   12988    4715    5427    9664    1510
PA0080       191     295     231     256     280     128     175     169      90     126      88      66     161     132     123    1835    2218    4744    1545    4797    1345    2374    7203    1198    5225    1596    2123    4014     579
PA0081      3690    3039    3345    2909    2527    1715    2864    2673    1079    2111     882     749    3580    1772    1547    4920    7340   16225    4886    8458    4020    6571   17692    6855    7844    7185    6136   12106    3986
PA0082      1090     871    1484    1227    1329     733     804    1220     373     973     233     505    1486     555     698    2686    4369   12716    2592    8244    3549    5119   17188    2835   12090    3573    6522    9875    1741
PA0083       755     885    1202     724     842     522     490     301     165     517     110     142     611     358     441    9191    7944   14954    5851   28333    7989   11746   16485    4449   27351    9765   10042   13400    3245
PA0084      2420    3028    4543    2543    2514    1663    1562    1536     612    1409     449     560    2219    1242    1285   30978   28443   52408   18205   90162   28867   39660   63331   15574   85925   36586   35282   45995   11019
PA0085      1119    1223    2103    1145    1188     955     799     649     339     667     280     432    1326     694     695   22028   21647   32123   10034  109057   23709   21763   33353    9833   83547   21628   22326   24791    7222
PA0086       384     395     291     484     353     293     471     452     118     210      72      85     309     256     208    2284    4391   10881    1736    8789    3707    6150   16084    2553   14081    5487    5544    7110    1293
PA0087       119     145     184     127     102      63     126     115      27      36      15      28     114      55      32    1258    1880    4344     816    5941    2016    2723    5246     855    5730    1865    2442    3418     293
PA0088       307     399     404     251     256     205     238     250      69     117      59      85     267     174      93    3025    4476   10393    2190   12331    3533    5034   12569    2348   12135    4481    4432    6551    1009
PA0089       133     237     211     197     170      93     170     202      59      79      39      82     198      94      94    1475    2342    5545    1344    8036    1997    3097    8825    1865    7100    3038    2660    4406     606
PA0090       915    1072     959     840     858     660     744     669     288     531     240     349     916     568     548    9382   12563   22671    6703   36462   11703   17791   35531    8602   44094   14852   14278   18395    3826
PA0091       484     603     572     577     473     487     491     534     256     314     176     225     665     407     366    4972    6484   12510    4222   20053    6605    9223   17981    4798   21523    7303    7445   10020    1903
PA0092       147     190     149     206     145     155     174     139      49      88      76      83     185     146     108     837    1012    1808     905    2496     969    1277    2301     716    2524    1066    1046    1408     356
PA0093       326     370     268     355     350     238     277     370     126     216     127     131     331     196     213    1054    1357    3666     872    3503    1016    1742    5382    1039    4367    1647    1484    2519     636
PA0094       194     172     386     167     177     127     124     119      79     119     107      84     220      81      98     918    1033    1968     688    2386     634     774    1669     412    1996     591     871    1591     288
PA0099       325     321     468     236     267     193     129     156     116     150     120     122     262     123     153    1160     914    2208     501    2569     587     692    2325     656    1533     762     536    1497     310
PA0101       287     233     199     214     234     260     257     238      76     164      72      83     286     125     137     367     608    1555     496    1813     569     714    2297     482    2050     738     834    1214     266
PA0105     10013    6223    3337    5927    8311    5798    5931    3691    2838    8380    1936    1621    4361    3619    5158     406     642    1282     507     661     427     650    1276     507     461     753     587    1097     247
PA0106      4148    2316    1478    1995    3756    2380    2221    1425    1009    3115     883     612    1823    1330    1911     300     330     394     251     407     271     284     382     421     243     412     322     408     244
PA0107      1201     773     343     638    1233     618     753     374     299     998     268     198     455     386     684      28      47      72      40      40      27      78     119      51      79      46      51      68      33
PA0108      3504    2008    1482    1806    2730    2068    2066    1298     834    2603     629     546    1777    1165    1468     251     310     280     251     325     157     231     268     407     226     297     209     217     175
PA0109      1076     697     403     646     765     674     605     457     358     858     240     286     506     478     529      64      90      93      51     100      68      89     113     146      66     115      73      71      54
PA0110       861     456     220     499     728     429     623     411     228     731     120     134     339     273     396      29      44     110      53      41      34      65     107      65      51      58      52      97      27
PA0117      1087     929     869    1167     995    1084    1124     749     505     834     411     481    1300     729     593    6444    6804    8856    6725    6677    5678    8162   11013    8824    7632   10187    7982    7512    6689
PA0118      1977    1936    1572    2270    1716    1666    1815    1598    1203    1375     958     945    1957    1498    1255   12037   16183   15448   11208   22942   11788   13562   13434   18559   15663   20489   14218   15434    5392
PA0119       519     330     247     347     284     393     434     271     182     288      97     156     353     224     218     813    1445    1289    1008     877     821    1362    1504    1528     779    1099    1244     908     721
PA0122     25556   17881   14213   12064   15526   21307   15659    8698    8344   17178    8404    6334   19628   10084   14263    1509    1158     677     720    1054     976     981     555     822     661    1185     884     601     423
